127.0.0.1 - - [22/Apr/2021:09:16:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [22/Apr/2021:09:16:51 +0900] "GET /hrd0422/junhbo/header.jsp HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [22/Apr/2021:09:16:51 +0900] "GET /hrd0422/junhbo/common.css HTTP/1.1" 200 1053
0:0:0:0:0:0:0:1 - - [22/Apr/2021:09:18:37 +0900] "GET /hrd0422/junhbo/index.jsp HTTP/1.1" 200 1292
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:17:31 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 1339
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:18:12 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 2371
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:30:46 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 2570
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:31:35 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 2686
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:48:36 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 2689
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:48:59 +0900] "POST /hrd0422/junhbo/hakInsertProcess.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:49:40 +0900] "POST /hrd0422/junhbo/hakInsertProcess.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:50:00 +0900] "POST /hrd0422/junhbo/hakInsertProcess.jsp HTTP/1.1" 200 245
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:50:02 +0900] "GET /hrd0422/junhbo/hakInsert.jsp HTTP/1.1" 200 2650
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:50:02 +0900] "GET /hrd0422/junhbo/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [22/Apr/2021:10:50:30 +0900] "POST /hrd0422/junhbo/hakInsertProcess.jsp HTTP/1.1" 200 245
