127.0.0.1 - - [28/Apr/2021:10:25:29 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:25:30 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 134
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:27:44 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:27:45 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1082
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:28:02 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1194
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:28:02 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:29:37 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1202
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:29:37 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:31:27 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:31:27 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:31:56 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:31:56 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:32:29 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:32:29 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:32:55 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1222
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:32:55 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:33:54 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:33:54 +0900] "GET /D0428/shop/common.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:35:25 +0900] "GET /D0428/shop/common.css HTTP/1.1" 200 1075
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:35:30 +0900] "GET /D0428/shop/index.jsp HTTP/1.1" 200 1221
0:0:0:0:0:0:0:1 - - [28/Apr/2021:10:35:30 +0900] "GET /D0428/shop/common.css HTTP/1.1" 304 -
